method,category,pesq_mean,pesq_std,pesq_count,stoi_mean,stoi_std,stoi_count,estoi_mean,estoi_std,estoi_count,si_sdr_mean,si_sdr_std,si_sdr_count,snr_mean,snr_std,snr_count,segsnr_mean,segsnr_std,segsnr_count,snr_gain_mean,snr_gain_std,snr_gain_count,si_sdr_gain_mean,si_sdr_gain_std,si_sdr_gain_count,pesq_gain_mean,pesq_gain_std,pesq_gain_count,stoi_gain_mean,stoi_gain_std,stoi_gain_count,rtf_mean,rtf_std,rtf_count
gtcrn_dns3,voicebank_demand,2.507521387442802,0.6616723110242902,824,0.914616292654955,0.06927099481598707,824,0.8129439831524484,0.12077050189854333,824,15.703323778517309,4.312416754320785,824,15.801875248690795,4.150191976792475,824,8.233780137300686,3.6643345847387705,824,7.355817870429627,3.7692892659198685,824,7.257799872091947,3.766283152683694,824,0.5390935007808277,0.4034961905719155,824,-0.00644383190792147,0.026473670045996444,824,0.06248388852008408,0.02937618481424326,824
gtcrn_vctk,voicebank_demand,2.86808338009038,0.7153177794975408,824,0.9402782653574429,0.055798496411100115,824,0.847467602979454,0.1090648068065233,824,18.795953447918542,4.009474617393912,824,18.859062538951505,3.925811866426268,824,10.501000170799296,3.5798208085640955,824,10.413005160690338,4.490677791389246,824,10.35042954149318,4.503419933922027,824,0.8996554934284062,0.41330293810318147,824,0.0192181407945664,0.024120739827645617,824,0.060495254254030066,0.014546163529393426,824
specsub,voicebank_demand,2.0287094252202116,0.7774001341753635,824,0.921539807039224,0.07091540564683475,824,0.7889819900022725,0.1480299873940336,824,9.02549691978,5.603184931317455,824,9.042880890127687,5.592226151445897,824,2.5530160974021605,4.653641878911718,824,0.5968235118665187,0.5281929306315002,824,0.5799730133546396,0.5277357479707575,824,0.060281538558237764,0.07218152036033733,824,0.00047968247634745475,0.0013467922335561597,824,0.003460089278968839,0.00045109700267876153,824
unprocessed,voicebank_demand,1.968427886661974,0.7523932477974233,824,0.9210601245628766,0.07095139725391184,824,0.7867235114224163,0.14950466028434883,824,8.445523906425361,5.61825532251739,824,8.446057378261168,5.616976154162511,824,1.8757754232360466,4.599580130607629,824,0.0,0.0,824,0.0,0.0,824,0.0,0.0,824,0.0,0.0,824,2.970459121592331e-06,1.3615190572874787e-05,824
wiener,voicebank_demand,2.1197382126329014,0.783507378134456,824,0.9202388152009293,0.07101573761379905,824,0.7912834499489814,0.146244705817818,824,9.935537083026977,5.63431478695473,824,9.993182488128712,5.600415457855276,824,3.5684489595691815,4.742679976713666,824,1.5471251098675438,1.2446418044488141,824,1.4900131766016171,1.240521606614566,824,0.1513103259709275,0.1846686296702726,824,-0.0008213093619471222,0.004442275631388868,824,0.004707230662008057,0.0007393937749378154,824
