pesq,pesq_noisy,stoi,stoi_noisy,estoi,estoi_noisy,si_sdr,si_sdr_noisy,snr,snr_noisy,segsnr,segsnr_noisy,pesq_available,snr_gain,si_sdr_gain,pesq_gain,stoi_gain,method,id,category,speaker,bg_snr_db,n_events,reverb,proc_s,rtf
2.904052734375,2.904052734375,0.9392513839277192,0.9392513839277192,0.8979937823407009,0.8979937823407009,7.619858012062335,7.619858012062335,7.6246279145337095,7.6246279145337095,31.466082961330567,31.466082961330567,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0000,gunshot,5142,9.22,1,False,3.00002284348011e-06,7.500057108700275e-07
1.5394258499145508,1.5394258499145508,0.9448730121563927,0.9448730121563927,0.795431619513726,0.795431619513726,3.8898251641682484,3.8898251641682484,4.061065805240029,4.061065805240029,6.504926798527301,6.504926798527301,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0001,gunshot,4077,6.72,2,True,4.899920895695686e-06,1.2249802239239216e-06
3.8241806030273438,3.8241806030273438,0.9991601878089545,0.9991601878089545,0.9987642805724912,0.9987642805724914,32.4280733093195,32.4280733093195,32.428150441176896,32.428150441176896,33.87255013161075,33.87255013161075,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0002,gunshot,1580,9.58,1,False,3.0999071896076202e-06,7.749767974019051e-07
3.2802019119262695,3.2802019119262695,0.999155808874499,0.999155808874499,0.9993977756636857,0.9993977756636857,21.23588325904676,21.23588325904676,21.223436513052864,21.223436513052864,34.29290191554085,34.29290191554085,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0003,gunshot,1580,11.33,1,False,3.200024366378784e-06,8.00006091594696e-07
2.1303906440734863,2.1303906440734863,0.9656478159174423,0.9656478159174423,0.9605218117374777,0.9605218117374777,14.744720727573906,14.744720727573906,14.771672366428001,14.771672366428001,32.4709188398653,32.4709188398653,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0004,gunshot,5105,2.83,1,False,3.8000289350748062e-06,9.500072337687016e-07
2.3308281898498535,2.3308281898498535,0.967282204811773,0.967282204811773,0.9526583812540728,0.9526583812540728,14.082138686995728,14.082138686995728,14.210158345576806,14.210158345576806,25.853959049399343,25.853959049399343,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0005,gunshot,1320,13.14,2,True,2.6999041438102722e-06,6.749760359525681e-07
2.5386340618133545,2.5386340618133545,0.9373646321149858,0.9373646321149858,0.9141024175116549,0.9141024175116551,12.289392605750873,12.289392605750873,12.292903805835188,12.292903805835188,28.604809240916882,28.604809240916882,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0006,gunshot,4970,5.21,2,False,3.2999087125062943e-06,8.249771781265736e-07
3.6611926555633545,3.6611926555633545,0.9978782759580714,0.9978782759580714,0.9906142697928068,0.9906142697928068,18.32438379139716,18.32438379139716,18.32477192495645,18.32477192495645,31.10180239482355,31.10180239482355,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0007,gunshot,8455,1.13,1,False,2.8999056667089462e-06,7.249764166772366e-07
3.373321056365967,3.373321056365967,0.9966061567394492,0.9966061567394492,0.9843872915505535,0.9843872915505535,20.303751696669387,20.303751696669387,20.180851501176956,20.180851501176956,19.691713223459104,19.691713223459104,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0008,gunshot,7021,8.37,1,True,2.500135451555252e-06,6.25033862888813e-07
3.700113534927368,3.700113534927368,0.999980125202178,0.999980125202178,0.9999095705636887,0.9999095705636887,21.835894844071024,21.835894844071024,21.83545999257789,21.83545999257789,34.283970890901536,34.283970890901536,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0009,gunshot,3570,13.71,1,False,3.0999071896076202e-06,7.749767974019051e-07
3.348283052444458,3.348283052444458,0.9936651049605969,0.9936651049605969,0.9863322791430371,0.9863322791430371,22.617725253910134,22.617725253910134,22.627662076423952,22.627662076423952,33.51485092559595,33.51485092559595,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0010,gunshot,7021,11.06,3,False,3.00002284348011e-06,7.500057108700275e-07
1.4315348863601685,1.4315348863601685,0.8722144162944097,0.8722144162944097,0.8551212865623332,0.8551212865623332,11.545662158087444,11.545662158087444,11.525186555715766,11.525186555715766,18.738865191601896,18.738865191601896,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0011,gunshot,1995,-2.54,3,True,3.600027412176132e-06,9.00006853044033e-07
1.1247618198394775,1.1247618198394775,0.7225321617577584,0.7225321617577584,0.6249429373831376,0.6249429373831376,7.061636062130839,7.061636062130839,7.780283916955631,7.780283916955631,6.308895438037296,6.308895438037296,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0012,gunshot,2094,11.86,4,True,3.2999087125062943e-06,8.249771781265736e-07
1.8405494689941406,1.8405494689941406,0.9869787791276866,0.9869787791276866,0.9296502955165734,0.9296502955165734,17.19845262972559,17.19845262972559,17.15396879130763,17.15396879130763,12.616785595955701,12.616785595955701,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0013,gunshot,4992,10.92,1,True,3.100140020251274e-06,7.750350050628185e-07
1.4429727792739868,1.4429727792739868,0.8573056034202945,0.8573056034202945,0.7696371039229729,0.7696371039229729,5.962757826382743,5.962757826382743,5.909421271284958,5.909421271284958,5.763838574173529,5.763838574173529,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0014,gunshot,1284,1.59,1,True,3.600027412176132e-06,9.00006853044033e-07
3.018339157104492,3.018339157104492,0.9792692034110322,0.9792692034110322,0.9610517341775598,0.9610517341775598,18.762176023456306,18.762176023456306,18.807330977160454,18.807330977160454,28.465060915983454,28.465060915983454,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0015,gunshot,2830,-1.98,3,False,2.6999041438102722e-06,6.749760359525681e-07
1.4192157983779907,1.4192157983779907,0.8332438127309634,0.8332438127309634,0.7997469984685525,0.7997469984685525,5.962764260675427,5.962764260675427,5.954921998941379,5.954921998941379,26.21903407503641,26.21903407503641,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0016,gunshot,1320,3.01,4,False,3.100140020251274e-06,7.750350050628185e-07
2.9453930854797363,2.9453930854797363,0.976471083529024,0.976471083529024,0.9370140955662599,0.9370140955662599,16.787782597755175,16.787782597755175,16.802485443432136,16.802485443432136,32.83681945471342,32.83681945471342,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0017,gunshot,8230,5.26,1,False,3.600027412176132e-06,9.00006853044033e-07
1.7746329307556152,1.7746329307556152,0.9568031176304082,0.9568031176304082,0.9077988674435065,0.9077988674435065,15.140418899836616,15.140418899836616,15.119747572487901,15.119747572487901,11.69092485426706,11.69092485426706,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0018,gunshot,1995,-1.98,1,True,3.2999087125062943e-06,8.249771781265736e-07
1.580939769744873,1.580939769744873,0.8521507090943204,0.8521507090943204,0.7531974096772147,0.7531974096772146,10.080741931232742,10.080741931232742,9.970798267051235,9.970798267051235,7.192263601817268,7.192263601817268,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0019,gunshot,5105,4.13,1,True,3.200024366378784e-06,8.00006091594696e-07
1.7958990335464478,1.7958990335464478,0.9540305302628918,0.9540305302628918,0.9097465439227654,0.9097465439227654,14.678451983895762,14.678451983895762,14.71848547636367,14.71848547636367,13.494357798459268,13.494357798459268,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0020,gunshot,4992,3.94,1,True,2.6999041438102722e-06,6.749760359525681e-07
1.5523087978363037,1.5523087978363037,0.8692749430753263,0.8692749430753263,0.6926858655921981,0.6926858655921979,8.486678550739192,8.486678550739192,8.47544300717844,8.47544300717844,6.697507474303119,6.697507474303119,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0021,gunshot,4446,-2.77,3,True,3.00002284348011e-06,7.500057108700275e-07
1.7121474742889404,1.7121474742889404,0.9320473306696448,0.9320473306696448,0.8357971987601467,0.8357971987601467,7.596093047539379,7.596093047539379,7.749026986080817,7.749026986080817,6.205574102324926,6.205574102324926,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0022,gunshot,5639,-4.66,1,True,2.800021320581436e-06,7.00005330145359e-07
3.8682658672332764,3.8682658672332764,0.9961493786783836,0.9961493786783836,0.9922030584941203,0.9922030584941203,22.449354445289373,22.449354445289373,22.448401960896373,22.448401960896373,32.695880307825725,32.695880307825725,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0023,gunshot,7127,5.22,1,False,3.100140020251274e-06,7.750350050628185e-07
3.096214771270752,3.096214771270752,0.9887856800522831,0.9887856800522831,0.9703508532284336,0.9703508532284336,25.493024469016508,25.493024469016508,25.49261926612555,25.49261926612555,28.93068670330149,28.93068670330149,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0024,gunshot,3570,12.62,3,False,3.2999087125062943e-06,8.249771781265736e-07
2.964982748031616,2.964982748031616,0.9360440696029446,0.9360440696029446,0.885875362576922,0.8858753625769219,14.940689545658701,14.940689545658701,14.949427416314666,14.949427416314666,12.8524571646692,12.8524571646692,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0025,gunshot,3729,5.7,1,True,3.8000289350748062e-06,9.500072337687016e-07
4.057178020477295,4.057178020477295,0.9942465704605404,0.9942465704605404,0.9915412615807163,0.9915412615807163,29.30817794650356,29.30817794650356,29.305183764418974,29.305183764418974,33.790191171898286,33.790191171898286,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0026,gunshot,5142,11.88,1,False,3.899913281202316e-06,9.74978320300579e-07
2.210749387741089,2.210749387741089,0.9888699276059765,0.9888699276059765,0.969450284054044,0.9694502840540438,22.839259535131603,22.839259535131603,22.8366492029217,22.8366492029217,32.28137258269652,32.28137258269652,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0027,gunshot,3570,3.34,1,False,3.999797627329826e-06,9.999494068324566e-07
2.0998780727386475,2.0998780727386475,0.8881053100852631,0.8881053100852631,0.7980772252658729,0.7980772252658731,10.12985189398903,10.12985189398903,10.330191720884137,10.330191720884137,8.782391138333024,8.782391138333024,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0028,gunshot,7176,3.43,1,True,4.00003045797348e-06,1.00000761449337e-06
1.6113640069961548,1.6113640069961548,0.9440989231632242,0.9440989231632242,0.8617190572670731,0.8617190572670731,9.253002780708801,9.253002780708801,9.163843870777594,9.163843870777594,6.680474870124393,6.680474870124393,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0029,gunshot,61,12.42,1,True,3.500143066048622e-06,8.750357665121555e-07
3.784499168395996,3.784499168395996,0.9993069829815102,0.9993069829815102,0.9973775250079822,0.9973775250079822,24.973043613416003,24.973043613416003,25.00366576308543,25.00366576308543,34.2801090108866,34.2801090108866,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0030,gunshot,4077,-1.14,2,False,4.399800673127174e-06,1.0999501682817936e-06
2.801285982131958,2.801285982131958,0.9967419053509738,0.9967419053509738,0.9882101385151594,0.9882101385151594,24.89685331897228,24.89685331897228,24.937263438799384,24.937263438799384,32.37705211948643,32.37705211948643,True,0.0,0.0,0.0,0.0,unprocessed,gunshot/0031,gunshot,5105,5.14,1,False,2.6999041438102722e-06,6.749760359525681e-07
