epoch,train_loss,mag,ri,sisnr,transient,val_loss,val_pesq,val_stoi,lr,secs
0,22.359418921661376,0.02115824804008007,0.12516110036969186,-0.9375238347053528,7.224412934875488,22.410934009552,1.741286466519038,0.8181314781176591,0.00025079999999999997,213.4
1,21.750825439453124,0.020163161532580853,0.12341734148859977,-0.9519398693084716,7.035529507255554,22.302042961120605,1.7432199140389761,0.8190204973198202,0.000299863133655661,110.0
2,21.55822964859009,0.019881773161143066,0.12293118684887885,-0.9595183653354645,6.97523532333374,22.25300579071045,1.7476007411877315,0.8201382875855423,0.00029930846401511553,109.5
3,21.453925254058838,0.019756883800029754,0.12262054709792138,-0.9649883630275726,6.94292613697052,22.254461688995363,1.7496758212645849,0.8207795752651061,0.0002983291207908004,112.6
4,21.385855934143066,0.01966405970528722,0.12249868336319923,-0.9669973340511322,6.9205634357452395,22.210933265686034,1.7536828339099884,0.8206049829398531,0.00029692789885866285,114.8
5,21.329860425567627,0.019557566498965024,0.1224397401034832,-0.9698877969026566,6.903010536956787,22.217860603332518,1.7536210944255193,0.8218822129542285,0.00029510879706341585,120.2
6,21.280863703155518,0.01952139182314277,0.12228640335202218,-0.9720988377571106,6.887149224472046,22.200664863586425,1.754098857442538,0.8214680290522539,0.00029287700680652803,110.8
7,21.23956000213623,0.019463480035215617,0.12223465774655343,-0.9738195831537246,6.87355852355957,22.179989280700685,1.7550770660241446,0.8213584959105091,0.0002902388972308629,113.9
8,21.21099778060913,0.019449181696772577,0.12214161964058876,-0.9752979201793671,6.864241749954224,22.17243949890137,1.7537724256515503,0.8213427820881963,0.0002872019970442483,106.0
9,21.189628872680665,0.019432732800394297,0.1220577907204628,-0.9761698740005493,6.857509498023987,22.171520824432374,1.7560620089371999,0.8216279644763186,0.00028377497303384803,106.7
10,21.147712702941895,0.019378722016513347,0.12200719446539879,-0.9775003261089324,6.8433946582794185,22.166856842041014,1.7578301926453908,0.821916223350301,0.0002799676053326525,106.6
11,21.129341020202638,0.019343594621866942,0.1219861240029335,-0.9790397060871124,6.837898147392273,22.127290210723878,1.7580616076787312,0.8216447651689196,0.0002757907595086729,106.6
12,21.101818752288818,0.019301592304557563,0.12194385008215904,-0.9799022646903992,6.828917600250244,22.171016330718995,1.754870699842771,0.8216083082596832,0.0002712563555564919,106.6
13,21.077252211761476,0.019288839934021234,0.12186868107914925,-0.9811168949604034,6.820835970115661,22.135588989257812,1.7640004624923071,0.822140949479025,0.00026637733387966376,106.6
14,21.05405997619629,0.019262235219031573,0.12183317460417747,-0.9821744239330292,6.81315305557251,22.136399345397948,1.7598252455393473,0.8216217449330021,0.0002611676183610435,106.6
15,21.043150747680663,0.019279559644311668,0.12176168980002404,-0.9836738244533538,6.809761887168884,22.118983898162842,1.7690161387125651,0.8229331310090006,0.00025564207662643685,110.5
16,21.034261215209963,0.019208291456103324,0.12190735240578651,-0.9842328143596649,6.806677220344543,22.13913749694824,1.7618056883414586,0.8217038013857774,0.00024981647761497137,107.0
17,21.008499110412597,0.01918479255363345,0.12180716170668603,-0.9850337985038757,6.7985530200958255,22.119423027038575,1.768805052836736,0.8216175730738675,0.00024370744657727485,107.3
18,20.98194319000244,0.0191842839717865,0.12171317741274834,-0.9860976630210877,6.789498271369934,22.103003005981446,1.7653930614391962,0.8213650355466364,0.00023733241762988983,107.1
19,20.960057749938965,0.019163981457799673,0.12164422176480293,-0.9869433462619781,6.782478286933899,22.1128351020813,1.7651933550834655,0.8218506220079864,0.000230709584001324,106.8
20,20.94308762512207,0.019149803392589093,0.12163166123628616,-0.9879056694030762,6.776622897338867,22.101097316741942,1.7669808546702066,0.8213424186376481,0.00022385784611172736,106.3
21,20.927378511047362,0.01916989742293954,0.12151371925473213,-0.9878274798870087,6.771160638618469,22.098366088867188,1.7677002876996994,0.8222213567575297,0.0002167967576343663,108.2
22,20.91539488449097,0.01910427074804902,0.12156969200968742,-0.9886483796119689,6.767861448669434,22.11365249633789,1.767133363087972,0.8220802933836286,0.0002095464696928267,108.1
23,20.900628450775148,0.019112050963193176,0.12152966147065163,-0.9896136370182037,6.762603472137451,22.115482368469237,1.7653065512577693,0.8222447222453957,0.00020212767335319725,108.3
24,20.88387258682251,0.01908416629433632,0.12149453952908516,-0.9904640691280365,6.757443544960022,22.110179634094237,1.768494321902593,0.8223060917019709,0.00019456154057535043,106.7
25,20.880242700195314,0.0190734429910779,0.12153472304344178,-0.990641819190979,6.755880737495422,22.098403701782228,1.7700800081094106,0.8222285923968059,0.00018686966379183572,106.7
26,20.860206788635253,0.019050395837426185,0.12148499665260315,-0.9914326545238494,6.74942474155426,22.09359712600708,1.7694531420866648,0.8223473998939423,0.00017907399428681686,107.4
27,20.844123236846922,0.019039321272075176,0.12144025948047638,-0.9921217218875885,6.744113873672485,22.110325584411623,1.7714475562175116,0.8230068123208675,0.00017119677955090872,107.0
28,20.838330930328368,0.019014976198226213,0.12148575172424317,-0.9923423739910125,6.7420209665298465,22.085499782562255,1.770847636461258,0.8224886843001448,0.00016326049979069205,107.0
