method,category,pesq_mean,pesq_std,pesq_count,stoi_mean,stoi_std,stoi_count,estoi_mean,estoi_std,estoi_count,si_sdr_mean,si_sdr_std,si_sdr_count,snr_mean,snr_std,snr_count,segsnr_mean,segsnr_std,segsnr_count,snr_gain_mean,snr_gain_std,snr_gain_count,si_sdr_gain_mean,si_sdr_gain_std,si_sdr_gain_count,pesq_gain_mean,pesq_gain_std,pesq_gain_count,stoi_gain_mean,stoi_gain_std,stoi_gain_count,rtf_mean,rtf_std,rtf_count
gtcrn_dns3,artillery,2.5900861233472825,0.7703605715501268,40,0.9378475854794797,0.053950377069428256,40,0.8789679557815436,0.09371303551566423,40,15.093467398308189,6.590817636276757,40,15.250239912945583,6.2535296040364425,40,15.425870526292263,6.988049758400645,40,3.2763391965511333,5.132913438753028,40,3.0996381833020377,4.9606188724324545,40,0.32471211850643156,0.5705903121957848,40,0.011904860956176207,0.028573859755043236,40,0.0512424162516254,0.00361552699422077,40
gtcrn_dns3,engine,1.6978615283966065,0.5277297231595875,40,0.796556119923999,0.1573195690852514,40,0.6502357265881565,0.21507582772412473,40,7.7414657269301035,7.13650783834338,40,8.889532616025045,5.574682619399808,40,6.3942888956087005,4.78374551595892,40,7.0994468246811255,3.45244495667624,40,5.986789443288851,3.822352256259195,40,0.5131616026163102,0.4158380217965306,40,0.05469435988199669,0.045230735175605635,40,0.05054963750008028,0.004030431993497453,40
gtcrn_dns3,gunshot,3.0051664084196092,0.7569198266624053,40,0.9556622512179794,0.05456939042944096,40,0.9140951098432428,0.08051010950702227,40,18.12485980700246,6.183092526263499,40,17.930401666356392,5.9785911608359905,40,17.404549848352158,7.145590876380196,40,1.0568259172864458,5.25611637382823,40,1.274873633045209,5.180756009775503,40,0.43590580224990844,0.4951354359741902,40,0.011793179407452278,0.032299917702205756,40,0.05292086687113624,0.010539102599273426,40
gtcrn_dns3,rotor,1.6805679976940155,0.44480201321781515,40,0.8401124054395638,0.09410312879857263,40,0.6887126041900394,0.15516409884238028,40,6.203111273749315,7.122482920915054,40,7.243879146371947,6.171242902954451,40,5.890775729857966,5.684506015455597,40,7.053776415002467,4.338681833015309,40,6.116255347172919,4.355903788968228,40,0.4174843966960907,0.28429593215789073,40,0.054710060038599836,0.04204730836532632,40,0.05306391687336145,0.0037756053219765054,40
gtcrn_dns3,siren,2.22314296066761,0.7297985501794403,40,0.9018670407325518,0.09295830568614603,40,0.8184254063991461,0.14437871830785806,40,9.557235171486791,5.485470109027571,40,10.21304718879109,4.7225333006431764,40,11.778936178767971,5.455030301682778,40,8.995087155626354,4.275657282635788,40,8.460575801804776,4.184896562042057,40,0.6608094185590744,0.5344900577836733,40,0.03329105961383677,0.04852147454800623,40,0.052756246253557036,0.014615308923690597,40
specsub,artillery,2.227137494087219,0.9694631888567613,40,0.9255574646929912,0.07306350022740495,40,0.8603610965974656,0.1209986510598565,40,11.845197449147232,9.33059591587836,40,11.840175396081456,9.350160055904743,40,17.374364234003675,10.803567390570349,40,-0.13372532031299383,0.7365873970674854,40,-0.14863176585891838,0.733852196881243,40,-0.03823651075363159,0.10192686276763445,40,-0.00038525983031227894,0.0013658419752250075,40,0.0030901362508302553,0.000769774471736606,40
specsub,engine,1.1901591837406158,0.185235647502693,40,0.7427448727719617,0.1772523668740563,40,0.5571328844116665,0.22851927409060283,40,2.1480758719679596,6.706139492731431,40,2.2867318647357386,6.5987511565260135,40,0.7755358779495102,5.641964547817652,40,0.49664607339181915,0.3738722229434012,40,0.39339958832670785,0.3588139879767877,40,0.005459257960319519,0.04069536891679687,40,0.0008831127299593442,0.002340075983356677,40,0.002972305001458153,0.000277261241321448,40
specsub,gunshot,2.540464332699776,0.861402613442316,40,0.9432505110993198,0.07659408423406251,40,0.9029863160347139,0.10456544130211386,40,16.76510182289943,7.827726272918487,40,16.656703860065356,7.706633043406389,40,20.1358465033367,10.537151601680533,40,-0.21687188900458887,0.9137189889408774,40,-0.08488435105781668,0.49481283626351535,40,-0.028796273469924926,0.07653805528321846,40,-0.0006185607112073027,0.001671718212590586,40,0.003045718123030383,0.0002912486999061233,40
specsub,rotor,1.2732447236776352,0.30076387847920516,40,0.7879396031007599,0.12161466368992793,40,0.5962205075019802,0.17203111438087076,40,0.4817573580941693,7.831221736584916,40,0.6809449891881079,7.659751047713373,40,1.5526733674877475,8.041833845126524,40,0.4908422578186289,0.32158393449052736,40,0.3949014315177732,0.29316188723596387,40,0.010161122679710389,0.0212835931090688,40,0.002537257699796089,0.0020179312763083154,40,0.0030000599959748796,0.0003225611470407734,40
specsub,siren,1.5513381749391555,0.6836185825212268,40,0.8678909821273544,0.11374122053903421,40,0.7488166203727025,0.15641766556156395,40,1.1495668523148739,7.25825423843667,40,1.298958459329374,7.11584478132018,40,8.747967332888667,10.008030097801019,40,0.08099842616463775,0.1826924493091254,40,0.05290748263285862,0.15398717142574997,40,-0.010995367169380188,0.038809082558235786,40,-0.0006849989913607024,0.004462715500793279,40,0.0029426006207359024,0.00027283430466418083,40
