epoch,train_loss,mag,ri,sisnr,transient,val_loss,val_pesq,val_stoi,lr,secs
0,4.212934927558899,0.020036195106059314,0.12561659981608392,-0.9580967293739319,0.0,4.383842926025391,1.7793196439743042,0.8227819786326304,0.00025079999999999997,192.7
1,4.057640127754212,0.019013629461824895,0.12367843008041382,-0.9836668347358704,0.0,4.349635081291199,1.7842154065767923,0.8245182019308245,0.000299863133655661,103.9
2,4.016366063308716,0.018761868239939212,0.123219208329916,-0.9935409585475922,0.0,4.337795858383179,1.7821973115205765,0.8257310546452998,0.00029930846401511553,103.2
3,3.9975692127227784,0.018666815786063672,0.12300604534745216,-0.9992892356395722,0.0,4.328973598480225,1.7815113604068755,0.8264664191050078,0.0002983291207908004,103.3
4,3.9804880249023435,0.018553519123792647,0.12283914805054665,-1.0034327466011048,0.0,4.323266410827637,1.7820521195729573,0.8262866101520329,0.00029692789885866285,103.4
5,3.967874789047241,0.018470079815387726,0.12272800680398942,-1.0068709813117982,0.0,4.320564522743225,1.7827402333418527,0.826040413548662,0.00029510879706341585,103.9
6,3.9566738527297973,0.018407981559634207,0.1226122534096241,-1.010252459526062,0.0,4.3212895011901855,1.7805251806974411,0.8265459927934146,0.00029287700680652803,103.5
7,3.948567276573181,0.01837737447619438,0.1224998550772667,-1.0128445970058442,0.0,4.3182033252716066,1.7844906161228815,0.8266209095176994,0.0002902388972308629,103.3
8,3.9522636571884155,0.018366459039598704,0.1226837511241436,-1.013901003408432,0.0,4.318596839904785,1.7825273672739665,0.8269698436042582,0.0002872019970442483,103.4
9,3.9495143907547,0.018339085705578326,0.12272389369010925,-1.015938414669037,0.0,4.3184507465362545,1.788165521621704,0.8266315964164657,0.00028377497303384803,103.5
10,3.9315478818893435,0.01827883502319455,0.12235603957772255,-1.0186517502307892,0.0,4.320745487213134,1.7867221434911091,0.8269433156418303,0.0002799676053326525,925.6
11,3.9226399974822996,0.01821944748610258,0.12227413801550865,-1.0209454555034638,0.0,4.3179373979568485,1.78841583331426,0.8274378205007763,0.0002757907595086729,104.1
12,3.918195676422119,0.018201848939061165,0.122218239736557,-1.0224809309482574,0.0,4.319633684158325,1.7864137500524522,0.8272910544060514,0.0002712563555564919,104.6
13,3.9119041563034056,0.01815413604453206,0.12217077404856681,-1.0240085696220398,0.0,4.321908473968506,1.7864615549643834,0.8278185969792848,0.00026637733387966376,104.3
14,3.9086932514190673,0.01814794572740793,0.12212038272023201,-1.0252744208335876,0.0,4.321950211524963,1.7860407720009486,0.8280286202792512,0.0002611676183610435,106.7
15,3.9044319110870362,0.01811509667932987,0.12209643706083298,-1.0265179656028747,0.0,4.3210093116760255,1.7865839054187138,0.8280065424084463,0.00025564207662643685,104.7
16,3.9003961612701414,0.01808863670527935,0.12206758462786675,-1.0278359272956847,0.0,4.319008450508118,1.7863202095031738,0.8282329688680298,0.00024981647761497137,103.8
17,3.8969696630477904,0.01807025634869933,0.12202463465332986,-1.0286873093128204,0.0,4.316259469985962,1.7872221370538075,0.828294405031836,0.00024370744657727485,103.2
18,3.894822507476807,0.018053620114177465,0.12202243179678916,-1.0296038367271423,0.0,4.318748078346252,1.7856611490249634,0.8284423900615976,0.00023733241762988983,103.2
19,3.890598674201965,0.01802895726263523,0.12197822350263596,-1.0307750467300416,0.0,4.3197071075439455,1.7864618271589279,0.828235740425828,0.000230709584001324,12233.7
20,3.886878727722168,0.01801241248846054,0.12192580415010452,-1.0317642517089844,0.0,4.313930196762085,1.7867543876171113,0.8280465362758717,0.00022385784611172736,139.8
21,3.8839301197052003,0.017998256847262382,0.12188831315040588,-1.0325972475051879,0.0,4.31236310005188,1.7858888347943624,0.8278084977112115,0.0002167967576343663,134.4
22,3.8813533195495604,0.017978935376554726,0.1218674140393734,-1.033194567012787,0.0,4.308775448799134,1.7873744378487268,0.8275451920510956,0.0002095464696928267,125.5
23,3.8783057600021364,0.017967389281839132,0.12182617000937462,-1.0341965820789336,0.0,4.312471895217896,1.7868618994951249,0.8276060252766975,0.00020212767335319725,143.7
