epoch,train_loss,mag,ri,sisnr,transient,val_loss,val_pesq,val_stoi,lr,secs
0,15.210046500396729,0.03273625568300485,0.1763126034975052,-0.2630550732329255,0.0,15.2927827835083,1.3261658509572347,0.6467273725985226,0.00025079999999999997,205.1
1,14.67064938659668,0.030916266845166684,0.17135836337804794,-0.305228693855647,0.0,15.264202175140381,1.3285268714030585,0.6490477247353307,0.000299863133655661,111.8
2,14.51075726852417,0.030540934899449347,0.1696642886161804,-0.3161059040502645,0.0,15.20084815979004,1.3417879303296407,0.6529262501013839,0.00029930846401511553,111.9
3,14.417618434906005,0.03034008216112852,0.16869284687042235,-0.32433889680989086,0.0,15.183005332946777,1.3359979391098022,0.6536767755404905,0.0002983291207908004,110.1
4,14.352472399902343,0.03011439235806465,0.16821541058421136,-0.329765259087889,0.0,15.206432304382325,1.3392745246489843,0.6533760021699352,0.00029692789885866285,112.0
5,14.327279434967041,0.030081176435947418,0.16786848850250244,-0.3326278647461906,0.0,15.166731719970704,1.360839115579923,0.65216048890336,0.00029510879706341585,113.7
6,14.277590627288818,0.030063118328154087,0.16712585509419442,-0.3345471496909857,0.0,15.244434261322022,1.334730409582456,0.6517467794709492,0.00029287700680652803,111.0
7,14.25668070602417,0.029962663984298706,0.16701122480630876,-0.3373983663835563,0.0,15.239732093811035,1.3574735562006632,0.6495432115219029,0.0002902388972308629,109.8
8,14.232813509368896,0.029946743635833262,0.16666685978770257,-0.33908311512004585,0.0,15.191647891998292,1.3438163101673126,0.6523712372750656,0.0002872019970442483,110.7
9,14.184378147888184,0.029788633762300013,0.16635887390971182,-0.34412348420219496,0.0,15.081540260314942,1.3476304004589716,0.6560907268313977,0.00028377497303384803,115.1
10,14.171064240264892,0.029868826404213907,0.1659410159766674,-0.3455209687599912,0.0,15.14922306060791,1.3506272166967392,0.6539819684798818,0.0002799676053326525,112.6
11,14.153743064117432,0.02978517175167799,0.1658516465485096,-0.34644242687150834,0.0,15.12061487197876,1.3486117849747339,0.6542446031569874,0.0002757907595086729,112.7
12,14.117972441101074,0.02967850805968046,0.16554521536827088,-0.3478724286168814,0.0,15.107766075134277,1.3451038390398025,0.6550414641286421,0.0002712563555564919,118.5
13,14.106687334442139,0.02961271669715643,0.1655262730062008,-0.3496350382775068,0.0,15.111769275665283,1.3454467862844468,0.6551565459083601,0.00026637733387966376,121.1
14,14.088851287078857,0.029607625898718834,0.16526287351846694,-0.35121838202029465,0.0,15.13240707397461,1.3489818930625916,0.6548107370224742,0.0002611676183610435,124.3
15,14.0886008644104,0.02949056403338909,0.16556259771585463,-0.3530334709867835,0.0,15.035679111480713,1.3495805571476618,0.6580121053566835,0.00025564207662643685,120.6
16,14.061290856933594,0.02952463062852621,0.16503357618451117,-0.3530484153799713,0.0,15.066711673736572,1.345616308848063,0.6561358298747177,0.00024981647761497137,112.7
17,14.044586864471436,0.029515546132624148,0.1648284699678421,-0.35558867194205523,0.0,15.079784965515136,1.3451067209243774,0.6565992929424055,0.00024370744657727485,111.9
