pesq,stoi,estoi,si_sdr,snr,segsnr,pesq_available,pesq_noisy,stoi_noisy,estoi_noisy,si_sdr_noisy,snr_noisy,segsnr_noisy,snr_gain,si_sdr_gain,pesq_gain,stoi_gain,burst_si_sdr,burst_si_sdr_noisy,burst_snr,burst_snr_noisy,burst_frac,burst_si_sdr_gain,burst_snr_gain,method,id,category,speaker,bg_snr_db,n_events,reverb,proc_s,rtf
2.030520439147949,0.9810259836478163,0.9373580618055404,14.180164328184215,14.190454293117549,15.478498141125716,True,2.030520439147949,0.9810259836478163,0.9373580618055404,14.180164328184215,14.190454293117549,15.478498141125716,0.0,0.0,0.0,0.0,6.608650190604779,6.608650190604779,6.6638824533306495,6.6638824533306495,0.127609375,0.0,0.0,unprocessed,gunshot/0000,gunshot,5142,16.39,1,False,3.400025889277458e-06,8.500064723193645e-07
1.777643799781799,0.9272090517974164,0.8020856237182796,3.056846397295648,3.115451781377356,15.031112083142729,True,1.777643799781799,0.9272090517974164,0.8020856237182795,3.056846397295648,3.115451781377356,15.031112083142729,0.0,0.0,0.0,0.0,-16.587330940630675,-16.587330940630675,-16.035111487574905,-16.035111487574905,0.13221875,0.0,0.0,unprocessed,gunshot/0001,gunshot,2830,19.07,1,False,5.500158295035362e-06,1.3750395737588406e-06
1.080151081085205,0.5492807235954968,0.4138383307394894,-2.705857403487771,-2.656685975524282,-5.655250448295222,True,1.080151081085205,0.5492807235954968,0.4138383307394894,-2.705857403487771,-2.656685975524282,-5.655250448295222,0.0,0.0,0.0,0.0,-0.9195300424909238,-0.9195300424909238,-0.8281709486402875,-0.8281709486402875,0.27040625,0.0,0.0,unprocessed,gunshot/0002,gunshot,3729,2.24,2,True,3.2999087125062943e-06,8.249771781265736e-07
1.3340623378753662,0.811341598437065,0.7062219255037515,6.911385161281235,7.033860288101378,3.317867552264333,True,1.3340623378753662,0.811341598437065,0.7062219255037514,6.911385161281235,7.033860288101378,3.317867552264333,0.0,0.0,0.0,0.0,7.389145235990054,7.389145235990054,7.598584488105898,7.598584488105898,0.140609375,0.0,0.0,unprocessed,gunshot/0003,gunshot,4992,17.52,2,True,3.09990718960762e-06,7.749767974019051e-07
1.2785115242004397,0.790005951695671,0.7867352439259728,9.117256876181637,9.120829794853952,13.796012056588047,True,1.2785115242004397,0.790005951695671,0.7867352439259728,9.117256876181637,9.120829794853952,13.796012056588047,0.0,0.0,0.0,0.0,5.829997648345918,5.829997648345918,5.810289074230758,5.810289074230758,0.22303125,0.0,0.0,unprocessed,gunshot/0004,gunshot,4507,8.7,2,False,3.2999087125062943e-06,8.249771781265736e-07
3.5795016288757324,0.9971293945239668,0.9962642769237704,16.79638959288624,16.791905509719264,16.874471915122385,True,3.5795016288757324,0.9971293945239668,0.9962642769237704,16.79638959288624,16.791905509719264,16.874471915122385,0.0,0.0,0.0,0.0,12.345351149001054,12.345351149001054,12.286794938738607,12.286794938738607,0.118328125,0.0,0.0,unprocessed,gunshot/0005,gunshot,5683,18.43,1,False,5.300156772136688e-06,1.325039193034172e-06
1.1221625804901123,0.6416828356154343,0.4677887555984638,-7.901214245647314,-7.73710990492919,-0.8725920471511297,True,1.1221625804901123,0.6416828356154343,0.4677887555984639,-7.901214245647314,-7.73710990492919,-0.8725920471511297,0.0,0.0,0.0,0.0,-8.244632894089076,-8.244632894089076,-8.570246359961779,-8.570246359961779,0.1176875,0.0,0.0,unprocessed,gunshot/0006,gunshot,8463,0.22,1,True,3.4999102354049683e-06,8.749775588512421e-07
1.2420012950897217,0.8722897292233952,0.7239048641150965,3.5266509286933068,3.5202469437121726,3.94256014778621,True,1.2420012950897217,0.8722897292233952,0.7239048641150965,3.5266509286933068,3.5202469437121726,3.94256014778621,0.0,0.0,0.0,0.0,1.4576135686913982,1.4576135686913982,1.473759872084086,1.473759872084086,0.362234375,0.0,0.0,unprocessed,gunshot/0007,gunshot,1580,16.24,3,True,3.00002284348011e-06,7.500057108700275e-07
1.6322073936462402,0.9258937039189752,0.7878360865487002,11.71385017605826,11.733333273958626,7.299349540747862,True,1.6322073936462402,0.9258937039189752,0.7878360865487002,11.71385017605826,11.733333273958626,7.299349540747862,0.0,0.0,0.0,0.0,4.305786600306861,4.305786600306861,4.473255653052132,4.473255653052132,0.106703125,0.0,0.0,unprocessed,gunshot/0008,gunshot,8463,12.91,1,False,5.399808287620544e-06,1.349952071905136e-06
1.7406795024871826,0.941433370264578,0.8685334711815955,12.94312082933657,12.975237710098646,15.990293619664296,True,1.7406795024871826,0.941433370264578,0.8685334711815954,12.94312082933657,12.975237710098646,15.990293619664296,0.0,0.0,0.0,0.0,12.379794464757666,12.379794464757666,12.422982112325824,12.422982112325824,0.630328125,0.0,0.0,unprocessed,gunshot/0009,gunshot,61,17.08,5,False,3.600027412176132e-06,9.00006853044033e-07
1.0405224561691284,0.7014026448153736,0.534410736871102,-2.4232381649739354,-2.3963134058018305,1.2233261387762722,True,1.0405224561691284,0.7014026448153736,0.534410736871102,-2.4232381649739354,-2.3963134058018305,1.2233261387762722,0.0,0.0,0.0,0.0,-8.415773458386603,-8.415773458386603,-8.488429725133301,-8.488429725133301,0.135875,0.0,0.0,unprocessed,gunshot/0010,gunshot,1320,7.82,1,True,2.8999056667089462e-06,7.249764166772366e-07
1.1227920055389404,0.8448837671458935,0.7530581138521064,-2.61916751041866,-2.615581704045278,4.404952218460365,True,1.1227920055389404,0.8448837671458935,0.7530581138521064,-2.61916751041866,-2.615581704045278,4.404952218460365,0.0,0.0,0.0,0.0,-1.5460126149702134,-1.5460126149702134,-1.5733070859030238,-1.5733070859030238,0.113625,0.0,0.0,unprocessed,gunshot/0011,gunshot,4446,4.14,1,True,5.699926987290382e-06,1.4249817468225956e-06
1.0531002283096311,0.7186127849292382,0.5464571508374416,-13.33577470616924,-12.97342616263788,-0.8679461136360249,True,1.0531002283096311,0.7186127849292382,0.5464571508374416,-13.33577470616924,-12.97342616263788,-0.8679461136360249,0.0,0.0,0.0,0.0,-36.22852151542226,-36.22852151542226,-25.09508830012004,-25.09508830012004,0.113390625,0.0,0.0,unprocessed,gunshot/0012,gunshot,3575,12.2,1,True,3.100140020251274e-06,7.750350050628185e-07
1.3056243658065796,0.8922004845259104,0.7658414083786622,6.70818798347645,6.693305600761037,3.833793940868564,True,1.3056243658065796,0.8922004845259104,0.7658414083786622,6.70818798347645,6.693305600761037,3.833793940868564,0.0,0.0,0.0,0.0,2.4065194060614066,2.4065194060614066,2.346898377377542,2.346898377377542,0.1106875,0.0,0.0,unprocessed,gunshot/0013,gunshot,8463,18.28,1,True,3.400025889277458e-06,8.500064723193645e-07
1.3399171829223633,0.8592328058467796,0.8208038718550169,8.62896975740518,8.666775367341671,12.819736924113563,True,1.3399171829223633,0.8592328058467796,0.820803871855017,8.62896975740518,8.666775367341671,12.819736924113563,0.0,0.0,0.0,0.0,14.112972013683535,14.112972013683535,14.040879337304348,14.040879337304348,0.067734375,0.0,0.0,unprocessed,gunshot/0014,gunshot,1995,8.95,1,False,3.600027412176132e-06,9.00006853044033e-07
1.1321781873703003,0.8207215128164809,0.6316748571435068,7.5492738816119855,7.650277499992435,8.022748249010585,True,1.1321781873703003,0.8207215128164809,0.6316748571435068,7.5492738816119855,7.650277499992435,8.022748249010585,0.0,0.0,0.0,0.0,-0.9364902092935086,-0.9364902092935086,-0.8090025524703106,-0.8090025524703106,0.2365625,0.0,0.0,unprocessed,gunshot/0015,gunshot,2830,7.66,2,False,2.8999056667089462e-06,7.249764166772366e-07
1.0291924476623535,0.5004741875018526,0.1602548543347552,-8.103676475799531,-7.274411375485684,-7.50316581594583,True,1.0291924476623535,0.5004741875018526,0.1602548543347552,-8.103676475799531,-7.274411375485684,-7.50316581594583,0.0,0.0,0.0,0.0,-12.33682255608382,-12.33682255608382,-8.613134552838934,-8.613134552838934,0.1230625,0.0,0.0,unprocessed,gunshot/0016,gunshot,2300,1.3,1,True,2.700136974453926e-06,6.750342436134815e-07
1.8143255710601809,0.9192836587798758,0.7965242200231214,-0.9921182799437952,-1.007810620131312,8.601852518461055,True,1.8143255710601809,0.9192836587798758,0.7965242200231215,-0.9921182799437952,-1.007810620131312,8.601852518461055,0.0,0.0,0.0,0.0,-40.87558487208145,-40.87558487208145,-38.54784225742208,-38.54784225742208,0.04425,0.0,0.0,unprocessed,gunshot/0017,gunshot,2961,17.42,1,False,4.400033503770828e-06,1.100008375942707e-06
1.4292513132095337,0.931124026099306,0.7839828477208333,11.979254033462084,11.98543974457534,7.518640729580338,True,1.4292513132095337,0.931124026099306,0.7839828477208333,11.979254033462084,11.98543974457534,7.518640729580338,0.0,0.0,0.0,0.0,13.336498204349848,13.336498204349848,13.32832259527086,13.32832259527086,0.1124375,0.0,0.0,unprocessed,gunshot/0018,gunshot,237,13.86,1,False,2.400018274784088e-06,6.00004568696022e-07
