method,category,pesq_mean,pesq_std,pesq_count,stoi_mean,stoi_std,stoi_count,estoi_mean,estoi_std,estoi_count,si_sdr_mean,si_sdr_std,si_sdr_count,snr_mean,snr_std,snr_count,segsnr_mean,segsnr_std,segsnr_count,snr_gain_mean,snr_gain_std,snr_gain_count,si_sdr_gain_mean,si_sdr_gain_std,si_sdr_gain_count,pesq_gain_mean,pesq_gain_std,pesq_gain_count,stoi_gain_mean,stoi_gain_std,stoi_gain_count,rtf_mean,rtf_std,rtf_count,burst_si_sdr_gain_mean,burst_si_sdr_gain_std,burst_si_sdr_gain_count,burst_snr_gain_mean,burst_snr_gain_std,burst_snr_gain_count,burst_frac_mean,burst_frac_std,burst_frac_count
gtcrn_dns3,artillery,2.502708840370178,0.7453092804958523,20,0.9366363154959888,0.061359092046720805,20,0.8765468207169012,0.1016122004315495,20,13.988235682099292,6.571304106568319,20,14.225387596094176,6.1610212991620354,20,14.402608555120773,6.804721669338373,20,1.9571917585131842,4.587697601366943,20,1.6913579493703914,4.365934334824042,20,0.3073598504066467,0.582199675311604,20,0.00847574182207687,0.02627847816413996,20,0.04927461748884525,0.003008258064499682,20,3.745422001007216,2.656608032681345,20,4.92809734179694,2.8808699875822597,20,0.18447890625000002,0.08974561549450914,20
gtcrn_dns3,gunshot,3.0051664084196092,0.7569198266624053,40,0.9556622512179794,0.05456939042944096,40,0.9140951098432428,0.08051010950702228,40,18.12485980700246,6.183092526263499,40,17.930401666356392,5.9785911608359905,40,17.404549848352158,7.145590876380196,40,1.0568259172864458,5.25611637382823,40,1.274873633045209,5.180756009775503,40,0.43590580224990844,0.4951354359741902,40,0.011793179407452278,0.032299917702205756,40,0.052685036875482184,0.02352800742776543,40,4.065360492167586,4.877737760091531,40,5.0340466392360055,5.308818367404235,40,0.17705429687500002,0.10714326354755836,40
specsub,artillery,2.1546487510204315,0.9341058106714535,20,0.9277248247298111,0.07831470495457446,20,0.8603139300392868,0.13014396820994015,20,12.000809087382379,8.130379318650172,20,11.983579319672803,8.164509426306672,20,16.053668217382842,10.795311302460878,20,-0.2846165179081904,1.0281294207083778,20,-0.2960686453465217,1.0258061202232032,20,-0.04070023894309997,0.08813317153834253,20,-0.00043574894410073337,0.0009241771220855898,20,0.0032368612592108548,0.00035059820317002885,20,-0.08329280861286467,0.2801560731171639,20,-0.009915297250771015,0.12055175368708394,20,0.18447890625000002,0.08974561549450914,20
specsub,gunshot,2.540464332699776,0.861402613442316,40,0.9432505110993198,0.07659408423406251,40,0.9029863160347139,0.10456544130211383,40,16.76510182289943,7.827726272918487,40,16.656703860065356,7.706633043406389,40,20.1358465033367,10.537151601680533,40,-0.21687188900458887,0.9137189889408774,40,-0.08488435105781668,0.49481283626351535,40,-0.028796273469924926,0.07653805528321846,40,-0.0006185607112073027,0.001671718212590586,40,0.0034827706214855423,0.0004440522007038065,40,-0.0407554525415996,0.2485460390462195,40,-0.015581254815763192,0.23660868013726202,40,0.17705429687500002,0.10714326354755836,40
unprocessed,artillery,2.1953489899635317,0.9773367511245484,20,0.9281605736739118,0.07806652584619528,20,0.8611841229573965,0.13065295342830724,20,12.2968777327289,8.759157194974055,20,12.268195837580993,8.802944526023968,20,17.879521573306334,12.341067514161168,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,0.0,0.0,20,1.1737545719370246e-06,2.2324906236321009e-07,20,0.0,0.0,20,0.0,0.0,20,0.18447890625000002,0.08974561549450914,20
unprocessed,gunshot,2.5692606061697005,0.8840679038816599,40,0.943869071810527,0.07598617132852242,40,0.9052988355404346,0.10417798360652329,40,16.84998617395725,7.866846420602963,40,16.873575749069946,7.838115948320661,40,22.507588789721883,11.471733634926565,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,0.0,0.0,40,1.1887575965374709e-06,2.719796947804341e-07,40,0.0,0.0,40,0.0,0.0,40,0.17705429687500002,0.10714326354755836,40
wiener,artillery,2.113023781776428,0.8847550091577852,20,0.9249195760168094,0.08087990234072504,20,0.8553091641532381,0.1315030292820096,20,11.571914166801369,7.4424884389576365,20,11.58115806610595,7.444905327399278,20,15.03501733042773,10.21361702752431,20,-0.6870377714750431,2.3536515850586928,20,-0.7249635659275315,2.344224096532125,20,-0.08232520818710327,0.18331159450749981,20,-0.0032409976571024625,0.004688087540047719,20,0.005208444994059392,0.000808712186682384,20,-0.2972249032945867,0.956983502536223,20,-0.060030569269444334,0.527718797277835,20,0.18447890625000002,0.08974561549450914,20
wiener,gunshot,2.4891496688127517,0.8392441288228972,40,0.9407322736098214,0.07947583604052992,40,0.8978384291002675,0.10801591252224298,40,16.65533478501489,7.777069997507507,40,16.498539079713808,7.641365431946268,40,19.23163390739439,10.342812394726147,40,-0.37503666935613544,1.2434108571450497,40,-0.19465138894236073,0.8182453295252653,40,-0.08011093735694885,0.1150358258837611,40,-0.003136798200705784,0.0066780149353531425,40,0.005011531249328982,0.0006882687748737612,40,-0.05997580063248291,0.44432555314521516,40,-0.013519935192666376,0.45834886043005135,40,0.17705429687500002,0.10714326354755836,40
