method,category,pesq_mean,pesq_std,pesq_count,stoi_mean,stoi_std,stoi_count,estoi_mean,estoi_std,estoi_count,si_sdr_mean,si_sdr_std,si_sdr_count,snr_mean,snr_std,snr_count,segsnr_mean,segsnr_std,segsnr_count,snr_gain_mean,snr_gain_std,snr_gain_count,si_sdr_gain_mean,si_sdr_gain_std,si_sdr_gain_count,pesq_gain_mean,pesq_gain_std,pesq_gain_count,stoi_gain_mean,stoi_gain_std,stoi_gain_count,rtf_mean,rtf_std,rtf_count,burst_si_sdr_gain_mean,burst_si_sdr_gain_std,burst_si_sdr_gain_count,burst_snr_gain_mean,burst_snr_gain_std,burst_snr_gain_count,burst_frac_mean,burst_frac_std,burst_frac_count
gtcrn:checkpoints/ablation_no_transient_best.pt,artillery,1.7223210781812668,0.5024533303363714,120,0.8354027216093061,0.11311177830063456,120,0.693727987448478,0.17178835038643292,120,8.53484160750905,5.510788767022377,120,9.312129366302383,4.637205976102039,120,7.737501847271122,4.780940351901172,120,8.769013471309234,3.7957007826963034,120,8.048220756115727,3.722673894693299,120,0.534546880920728,0.3827377279613051,120,0.07038538901853927,0.04786439611169717,120,0.06593625457947686,0.02597765555239983,120,7.874624809656777,4.579777774440554,120,10.62105455496993,4.766770752360216,120,0.203498828125,0.11545771434260352,120
gtcrn:checkpoints/ablation_no_transient_best.pt,babble,1.8334574153025944,0.6570674683856192,120,0.8272853896328564,0.15555681002041163,120,0.6888295488864118,0.20951545108627218,120,8.996058171857358,7.79706777343455,120,10.142747343911457,5.882493258837871,120,7.550964657863722,5.390378713173099,120,5.472089729621237,3.607602304402244,120,4.551687874479999,3.9404613107459183,120,0.5008245557546616,0.38922650087216565,120,0.04253202688859473,0.05538393211339681,120,0.04736982520892828,0.002679738475348092,120,,,0,,,0,,,0
gtcrn:checkpoints/ablation_no_transient_best.pt,engine,2.0660354216893513,0.6736177547288907,120,0.8734079014681502,0.09815228309669358,120,0.7524951888230986,0.1555518646209626,120,10.968517877454616,5.986961068352257,120,11.40292151393481,5.294990212649242,120,9.049451977246694,5.160693014786406,120,5.808860668326474,3.471090116651297,120,5.389603784108269,3.1876740852072767,120,0.6862345337867737,0.4329758828716291,120,0.0573764711887336,0.04278242478715841,120,0.059485295624472204,0.014029991592172825,120,,,0,,,0,,,0
gtcrn:checkpoints/ablation_no_transient_best.pt,gunshot,1.9005060156186422,0.5888635656686217,120,0.8537517463460345,0.111597990821154,120,0.7270119379946576,0.17181485655305026,120,9.754297672157053,5.802037969088697,120,10.427287744523648,4.935615895594353,120,8.529512343883642,5.063142502084253,120,7.594299520109542,4.014243590578404,120,6.9773161812232045,3.9561244498530512,120,0.60309339761734,0.36637283760716327,120,0.07166044005938667,0.04410810168641416,120,0.06390139395710624,0.029407911374685864,120,7.16344279861601,5.095923125243723,120,8.889650163552897,5.6209260936601,120,0.18746588541666667,0.11007904827898801,120
gtcrn:checkpoints/ablation_no_transient_best.pt,rotor,1.9953282763560614,0.6047624738385039,120,0.8748140655800195,0.1059412140066031,120,0.7549426876986656,0.15564896209474277,120,10.835144109279998,5.207967143273521,120,11.232304021744588,4.6159015506834935,120,8.635935705039891,4.604045659203535,120,5.120273094731561,3.585540592266481,120,4.757960537740252,3.557375037823962,120,0.641465445359548,0.3714399640285093,120,0.05181226859236066,0.042113939038682435,120,0.11200671937549486,0.30920688723204537,120,,,0,,,0,,,0
gtcrn:checkpoints/ablation_no_transient_best.pt,siren,2.0803002933661143,0.5959642855857793,120,0.8915764295029818,0.08210817655455117,120,0.7769703722746194,0.13562844461173576,120,11.888581956509713,5.2503408940779,120,12.205765528045909,4.677724780847075,120,9.513317660321425,4.393195676485584,120,5.51020898123105,3.500322264592222,120,5.255286725317361,3.331043869150697,120,0.716213603814443,0.3930097583682707,120,0.054639207920424995,0.03935341375429901,120,0.04828387771170431,0.004314627351082445,120,,,0,,,0,,,0
gtcrn:checkpoints/ft_best.pt,artillery,1.7211593945821126,0.5121044401770697,120,0.8317986498906383,0.11423809477000883,120,0.6893758171670956,0.1714195424722316,120,8.336596149410267,5.501222573068818,120,9.112662505364883,4.627024559170768,120,7.542665171761715,4.557524976951092,120,8.569546610371736,4.081349143560737,120,7.849975298016943,4.069343397066807,120,0.5333851973215739,0.39644452542171754,120,0.06678131729987155,0.050057676175997066,120,0.05140557229024121,0.005763792186270537,120,7.8305957953410585,5.1643060572176775,120,10.763095541970625,4.845659468451739,120,0.203498828125,0.11545771434260352,120
gtcrn:checkpoints/ft_best.pt,babble,1.8015059957901636,0.6392134724236689,120,0.8223578624695355,0.15359214471209126,120,0.681068934372829,0.20911063215977294,120,8.635000600726316,7.894567289325514,120,9.840468138391937,5.722209659004147,120,7.294299298554419,5.176855157007524,120,5.169810524101717,3.5682099511520833,120,4.190630303348955,4.010566925419363,120,0.46887313624223076,0.3739306366030055,120,0.037604499725273695,0.05398816069652003,120,0.05110072854198123,0.0050591048516686315,120,,,0,,,0,,,0
gtcrn:checkpoints/ft_best.pt,engine,2.017629112799962,0.6565443531917596,120,0.8679147354610746,0.09895047595328446,120,0.7448217325108413,0.15603140551646405,120,10.650441343748943,5.865628570317353,120,11.089362826770087,5.078551641282135,120,8.755902209010854,4.879500765456757,120,5.49530198116175,3.6003843388474093,120,5.071527250402596,3.3113853168489924,120,0.6378282248973847,0.42248559839161587,120,0.05188330518165808,0.042987421711031204,120,0.05011836395618346,0.005491186953497217,120,,,0,,,0,,,0
gtcrn:checkpoints/ft_best.pt,gunshot,1.8984770745038986,0.5965263701757277,120,0.8497020753112555,0.11291930146480293,120,0.7200570951581862,0.17274245352781198,120,9.490796223645809,5.988428494049468,120,10.187176549356233,4.9935519778373685,120,8.249855957989734,4.887842761429622,120,7.354188324942126,4.002376127107787,120,6.7138147327119615,3.9448412902094696,120,0.6010644565025965,0.3703287847690687,120,0.06761076902460768,0.04546703730197694,120,0.05298665875113021,0.011872898696308252,120,7.211758123501804,5.037693387334424,120,8.903246154862774,5.670455422389735,120,0.18746588541666667,0.11007904827898801,120
gtcrn:checkpoints/ft_best.pt,rotor,1.9550936261812846,0.569275842683708,120,0.8702375115401303,0.10691312645423756,120,0.747806373575188,0.15650807725814928,120,10.569616744345462,5.065984549558331,120,10.938836125274863,4.454918684540739,120,8.353862526113845,4.377557621461449,120,4.8268051982618365,3.6882518535096636,120,4.492433172805717,3.614229673489714,120,0.6012307951847712,0.3547760655646676,120,0.04723571455247143,0.043199699584401834,120,0.04938967812486221,0.005034678716271178,120,,,0,,,0,,,0
